Tn,Tavg,RH_avg,ss,ff_avg
25.00,28.90,74.00,1.00,2.00
24.00,29.00,68.00,8.00,2.00
25.00,28.50,81.00,2.30,1.00
24.00,28.20,80.00,3.00,1.00
26.00,27.30,85.00,1.00,1.00
24.00,27.90,78.00,6.00,1.00
26.00,28.80,74.00,7.50,1.00
25.00,28.40,77.00,6.00,2.00
25.00,29.60,71.00,4.00,2.00
25.00,28.20,79.00,0.00,2.00
24.00,27.80,81.00,4.50,2.00
25.00,28.60,76.00,6.00,2.00
26.00,28.70,75.00,1.50,2.00
26.00,28.60,82.00,2.20,2.00
24.00,27.60,86.00,2.00,2.00
25.00,26.70,80.00,2.00,2.00
24.00,27.70,73.00,1.80,1.00
24.00,27.90,68.00,4.60,2.00
24.00,26.70,78.00,0.00,0.00
26.00,28.10,82.00,1.00,2.00
25.00,28.40,80.00,2.20,2.00
24.00,27.40,82.00,0.50,3.00
24.00,27.80,78.00,3.50,4.00
24.00,25.10,78.00,0.00,3.00
25.00,27.10,81.00,2.40,3.00
25.00,27.90,78.00,0.30,3.00
26.00,28.10,88.00,2.00,2.00
25.00,28.20,81.00,5.00,2.00
25.00,27.30,80.00,2.20,2.00
25.00,27.90,83.00,5.00,3.00
25.00,28.00,74.00,3.00,3.00
25.00,26.20,81.00,0.00,4.00
23.00,25.40,89.00,0.00,3.00
24.00,26.10,90.00,0.00,2.00
26.00,28.50,78.00,8.00,2.00
26.00,29.00,81.00,5.00,1.00
26.00,28.90,76.00,5.30,2.00
25.00,27.90,74.00,2.50,4.00
25.00,27.00,81.00,5.50,2.00
25.00,27.70,81.00,7.80,0.00
24.00,24.90,96.00,0.00,0.00
24.00,28.40,72.00,6.50,3.00
25.00,28.40,72.00,5.00,2.00
24.00,28.00,82.00,6.30,2.00
23.00,25.20,94.00,0.00,2.00
24.00,25.80,91.00,0.00,2.00
24.00,27.60,81.00,7.20,3.00
23.00,25.00,88.00,0.00,2.00
24.00,26.80,80.00,0.00,2.00
23.00,25.30,92.00,0.00,3.00
23.00,26.00,86.00,0.00,2.00
23.00,26.90,82.00,0.00,3.00
23.00,26.10,85.00,0.00,3.00
23.00,24.10,96.00,0.00,2.00
25.00,25.90,85.00,0.00,2.00
24.00,25.40,90.00,0.00,3.00
23.00,26.10,84.00,8.00,2.00
23.00,26.20,86.00,8.00,2.00
24.00,26.70,85.00,5.30,3.00
25.00,25.50,88.00,0.00,2.00
24.00,26.40,85.00,0.00,3.00
24.00,25.80,86.00,0.40,3.00
26.00,27.50,82.00,3.80,2.00
25.00,27.00,79.00,0.70,2.00
24.00,26.90,84.00,4.00,3.00
23.00,26.30,83.00,0.60,2.00
24.00,25.40,89.00,0.00,1.00
24.00,26.20,86.00,0.20,1.00
24.00,25.60,94.00,0.00,0.00
25.00,26.70,88.00,1.00,2.00
25.00,27.00,83.00,4.00,1.00
24.00,26.50,88.00,0.00,2.00
24.00,26.90,88.00,1.20,2.00
24.00,27.20,84.00,1.50,1.00
25.00,27.60,84.00,2.00,0.00
26.00,28.40,79.00,4.00,1.00
23.00,28.80,78.00,7.40,1.00
24.00,26.90,82.00,4.00,2.00
24.00,25.20,85.00,0.00,0.00
25.00,27.20,83.00,1.20,1.00
24.00,27.70,82.00,5.60,1.00
24.00,26.10,88.00,1.30,1.00
26.00,27.60,84.00,1.80,1.00
24.00,28.70,80.00,8.00,1.00
24.00,26.00,88.00,0.30,1.00
23.00,24.10,95.00,0.00,1.00
24.00,26.70,84.00,6.50,1.00
24.00,26.40,83.00,0.60,2.00
24.00,26.70,86.00,2.40,1.00
23.00,24.60,96.00,0.00,1.00
23.00,25.20,92.00,0.00,0.00
25.00,26.40,86.00,4.00,2.00
24.00,27.80,82.00,4.50,2.00
24.00,27.60,82.00,7.70,1.00
26.00,28.40,77.00,8.50,1.00
26.00,28.90,76.00,8.70,2.00
25.00,27.70,81.00,0.30,1.00
25.00,28.40,78.00,5.50,0.00
25.00,27.50,80.00,3.30,1.00
26.00,28.20,81.00,0.70,1.00
25.00,28.10,81.00,1.20,2.00
24.00,26.60,89.00,0.00,0.00
24.00,26.40,89.00,0.00,0.00
24.00,26.00,90.00,0.00,2.00
24.00,27.50,85.00,0.20,0.00
24.00,27.00,86.00,4.50,1.00
26.00,27.70,83.00,3.60,2.00
26.00,28.60,80.00,4.50,0.00
25.00,28.00,83.00,2.50,1.00
25.00,28.00,83.00,4.00,2.00
26.00,28.40,78.00,5.50,2.00
25.00,29.10,78.00,3.50,1.00
25.00,27.90,79.00,2.80,3.00
25.00,28.20,80.00,4.50,1.00
25.00,27.30,84.00,0.70,1.00
26.00,28.30,79.00,5.00,2.00
24.00,28.00,82.00,0.00,1.00
25.00,26.80,85.00,0.00,1.00
26.00,28.40,82.00,8.00,2.00
